id,marker,start,end,title,desc,pic,pos,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,citation,tags
eh,segment,1868,1878,"Guerras independentistas",,,,#00ff00,,,,,,,"-78.8568,21.515",216069,"where:-79.4807,21.2994,1126",,
eh,segment,1878,1895,"Periodo entreguerras",,,,#00ff00,,,,,,,"-78.9227,21.709",,"where:-78.9534,21.4119,1126",,
eh,segment,1895,1902,"Guerra del 95",,,,#00ff00,,,,,,,,,,,
bio,dot,1814,,"Nacimiento","Gertrudis Gómez de Avellaneda nace el 23 de marzo de 1814 en Santa María de Puerto Príncipe (actual Camagüey), Cuba.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/FEDERICO_DE_MADRAZO_-Gertrudis_G%C3%B3mez_de_Avellaneda_%28Museo_L%C3%A1zaro_Galdiano%2C_1857%29.jpg/330px-FEDERICO_DE_MADRAZO_-Gertrudis_G%C3%B3mez_de_Avellaneda_%28Museo_L%C3%A1zaro_Galdiano%2C_1857%29.jpg",,#ff9900,,,,,,,"-77.9163,21.3763",,"where:-77.9086,21.3757,35",,
bio,dot,1873,,"Muerte","Gertrudis Gómez de Avellaneda muere el 1 de febrero de 1873 en Madrid, España, a la edad de 58 años.",,,#ff9900,,,,,,,"-3.7086,40.4166",,"where:-3.6599,40.3871,141",,
bio,story,1814,1873,"Sobre la autora","Gertrudis Gómez de Avellaneda (1814 - 1873) fue una novelista, dramaturga y poetisa española del Romanticismo. Se instaló en España a los veintidós años, donde comenzó a publicar bajo el seudónimo de «La Peregrina» y se dio a conocer con la novela Sab,  Sab, considerada la primera novela antiesclavista (anterior incluso a Uncle Tom's Cabin, la cabaña del tío Tom, de la escritora estadounidense Harriet Beecher Stowe). De formación neoclásica, fue valorada en su época como una de las figuras clave del romanticismo hispanoamericano. El tratamiento que dio a sus personajes femeninos la convirtieron en una de las precursoras del feminismo moderno.","https://upload.wikimedia.org/wikipedia/commons/1/19/Gertrudis_G%C3%B3mez_de_Avellaneda.jpg",,#000000,,,,,,,,,,, 
bio,story,1836,,"Salida de Cuba","<p>La familia zarpó hacia Europa el 9 de abril de 1836, y durante los dos meses de viaje, Gómez de Avellaneda compuso uno de sus poemas conocidos: el soneto <a href=https://www.poemas-del-alma.com/gertrudis-gomez-de-avellaneda-al-partir.htm><em>Al partir</em></a> una composición antológica por excelencia, marcada por el desgarramiento existencial, y que posteriormente encabezará su producción en el futuro.","https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Firma_de_Gertrudis_G%C3%B3mez_de_Avellaneda.svg/1920px-Firma_de_Gertrudis_G%C3%B3mez_de_Avellaneda.svg.png",,#000000,,,,,,,"-79.4807,21.2993,1126",,"where:-79.4807,21.2993,1126",,
bio,story,1836,,"Estancia en la Coruña","<p>Establecida con su familia en La Coruña, Gertrudis Gómez de Avellaneda comienza su producción literaria con los poemas: <em>A las estrellas</em>, <em>La serenata</em>, <em>A mi jilguero</em>.</p>",,,,,,,,,,"-8.4431,43.3793,139",,"where:-8.4431,43.3793,139",,
bio,story,1839,1840,"Estancia en Andalucía","<p>Allí logra publicar algunos de sus poemas en los principales diarios de Cádiz y Sevilla. Además, en 1840 estrena su primera obra dramática: <em>Leoncia</em>.</p>",,,,,,,,,,"-5.968,37.3717,70",,"where:-5.945,37.3668,141",,
eh,story,1868,1878,"Guerras independentistas","<p>Las guerras de independencia cubanas tuvieron inicio el 10 de octubre 1868 &mdash;cuando la autora tenía ya 54 años&mdash; y finalizaron el 20 de mayo de 1902. Casi 40 años tardó la isla en independizarse de la corona española.</p><p><img alt= src= https://upload.wikimedia.org/wikipedia/commons/e/e3/Independencia_de_Cuba%2C_revista_la_flaca%2C_1873..jpg  style= height:237px; width:400px/><span style= font-size:11px >Independencia de Cuba representada en la revista <em>La Flaca</em> en 1873.</span></p>",,,,,,,,,,"-79.7223,22.0245",,"where:-79.5114,21.6877,1126",,
eh,story,1878,1895,"Periodo entreguerras","<p><img alt= src= https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Entrada_triunfal_de_Arsenio_Mart%C3%ADnez_Campos_en_La_Habana%2C_1878.jpg/800px-Entrada_triunfal_de_Arsenio_Mart%C3%ADnez_Campos_en_La_Habana%2C_1878.jpg style= height:442px; width:400px /><span style= font-size:11px >Paz en Cuba, entrada del general Martínez Campos a la Habana, 1878.</span></p>",,,,,,,,,,"-78.7909,21.9029",,"where:-79.8566,22.1269,1126",,
viaje,diamond,1840,1859,"Instalación en Madrid","Gertrudis Gómez de Avellaneda se instaló en Madrid durante casi 20 y la ciudad vería surgir y brillar su pluma en los diarios, en los libros y en los teatros.",,,#9900ff,,,,,,,"-3.6849,40.4351",,"where:-3.7358,40.4265,70",,
viaje,diamond,1839,,"Estancia en Andalucía","Junto a su hermano Manuel Gómez de Avellaneda la autora se estableció en Sevilla.",,,#9900ff,,,,,,,"-5.9886,37.3696",,"where:-6.0238,37.3853,70",,
viaje,diamond,1836,,"Salida de Cuba","Gertrudis Gómez de Avellaneda zarpa junto a su familia hacia Europa el 9 de abril de 1836.",,,#9900ff,,,,,,,"-82.3481,23.11",,"where:-81.9526,23.0595,281",,
viaje,diamond,1836,,"Llegada a Europa","La autora y su familia, dos meses después de su salida de Cuba, llegan a la ciudad francesa Burdeos, donde permanecen al rededor de 2 semanas en las cercanías del Castillo de la Bréde y el centro espiritual La solitude.","https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Chateau_la_brede.jpg/800px-Chateau_la_brede.jpg",,#9900ff,,,,,,,"-0.5744,44.8514",,"where:-0.6263,44838,70",,
viaje,diamond,1836,,"Estancia en La Coruña","La familia se estableció durante dos años en La Coruña, España.",,,#9900ff,,,,,,,"-8.4025,43.3656",,"where:-8.443,43.3794,139",,
viaje,diamond,1839,,"Estancia en Andalucía","Junto a su hermano Manuel Gómez de Avellaneda la autora se estableció en Sevilla.",,,#9900ff,,,,,,,"-5.9886,37.3696",,"where:-6.0238,37.3853,70",,
viaje,diamond,1859,1864,"Regreso a Cuba","Gertrudis Gómez de Avellaneda regresa a su natal Cuba en compañía de su esposo, y permanece en la isla hasta la muerte de su compañero en 1863.",,,#9900ff,,,,,,,"-82.334,23.1252",,"where:-82.34,23.1149,70",,
viaje,diamond,1864,1873,"De vuelta a España","Gertrudis regresa a Madrid al año siguiente de enviudar y permanece allí hasta su muerte el 1 de febrero de 1873.",,,#9900ff,,,,,,,"-3.6329,40.432",,"where:-3.6954,40.4277,35",,
obra,star,,,"Leoncia","Primera obra dramática de la autora. Estrenada en Sevilla",,,#ff0000,,,,,,,"-5.9673,37.3979",,"where:-5.9783,37.4065,70",,
obra,star,1841,,"Sab","(novela) Imprenta de la Calle Barco No. 26",,,#ff0000,,,,,,,"-3.6767,40.4111",,"where:-3.6603,40.4005,20",,
obra,star,1842,1843,"Dos mujeres","(novela) Gabinete literario.",,,#ff0000,,,,,,,"-3.6818,40.3996",,"where:-3.7038,40.4167,20",,
obra,star,1844,,"Espantolino","(novela) La Prensa",,,#ff0000,,,,,,,"-8237523,133",,"where:-82.3609,23.1057,35",,
obra,star,1845,,"Egilona","(novela) Imprenta de José Repullés.",,,#ff0000,,,,,,,"-3.7503,40.4263",,"where:-3.6993,40.4297,35",,
obra,star,1846,,"Guatimozín, último emperador de México","(novela) Imprenta de A. Espinosa.",,,#ff0000,,,,,,,"-3.6656,40.3881",,"where:-3.7038,40.4167,20",,
obra,star,1851,,"Dolores","(novela) Imprenta de V. G. Torres.",,,#ff0000,,,,,,,"-3.7071,40.4356",,"where:-3.7038,40.4167,20",,
obra,star,1853,,"La mano de Dios","(novela) Imprenta del Gobierno por S. M.",,,#ff0000,,,,,,,"-81.5813,23.0443",,"where:-81.5861,23063,35",,
obra,star,1857,,"La flor del ángel (tradición guipuzcoana)","(novela) A. M. Dávila",,,#ff0000,,,,,,,"-82.3551,23.1435",,"where:-82.3443,23.1201,35",,
obra,star,1861,,"El artista barquero","<p><em>o los cuatro de junio</em> (novela) Imprenta El Iris</p>",,,#ff0000,,,,,,,"-82.3514,23.1315",,"where:-82.3334,23.1116,35",,
obra,star,1871,,"Una anécdota de la vida de Cortés","(novela) Imprenta y Estereotipia de M. Rivadeneyra.",,,#ff0000,,,,,,,"-3.6908,40.4249",,"where:-3.7021,40.4191,35",,
obra,star,1871,,"La ondina del lago azul","(novela) Imprenta y Estereotipia de M. Rivadeneyra.",,,#ff0000,,,,,,,"-3.7171,40.4133",,"where:-3.6972,40.4168,70",,
obra,star,1844,,"El Príncipe de Viana","(teatro) Imprenta de José Repullés",,,#ff0000,,,,,,,"-3.6924,40.4158",,"where:-3.7038,40.4167,20",,
obra,star,1849,,"Saúl","(teatro) Imprenta de José de Repullés",,,#ff0000,,,,,,,"-3.6629,40.4053",,"where:-3.7038,40.4167,20",,
obra,star,1851,,"Flavio Recaredo","(teatro) Imprenta de José de Repullés.",,,#ff0000,,,,,,,"-3.6841,40.4426",,"where:-3.7038,40.4167,20",,
obra,star,1852,,"Errores del corazón","(teatro) Imprenta de José de Repullés",,,#ff0000,,,,,,,"-3.7248,40.4472",,"where:-3.7038,40.4167,20",,
obra,star,1852,,"La verdad vence apariencias","(teatro) Imprenta de José de Repullés.",,,#ff0000,,,,,,,"-3.6341,40.422",,"where:-3.7038,40.4167,20",,
obra,star,1852,,"La hija de las flores","<p><em>Todos están locos</em> (teatro) Imprenta a cargo de C. González.</p>",,,#ff0000,,,,,,,"-3.7638,40.4307",,"where:-3.7038,40.4167,20",,
obra,star,1853,,"La aventurera","(teatro) Imprenta a cargo de C. González.",,,#ff0000,,,,,,,"-3.6094,40.4218",,"where:-3.7038,40.4167,20",,
obra,star,1855,,"Oráculos de Talía","<p><em>Los duendes en palacio</em> (teatro) Imprenta de Jos&eacute; Rodr&iacute;guez.</p>",,,#ff0000,,,,,,,"-3.6788,40.5025",,"where:-3.6789,40.4424,70",,
obra,star,1855,,"Simpatía y antipatía","(teatro) Imprenta de José Rodríguez.",,,#ff0000,,,,,,,"-3.8252,40.4391",,"where:-3.6931,40.4279,35",,
obra,star,1855,,"La hija del rey René","(teatro) Imprenta de José Rodríguez.",,,#ff0000,,,,,,,"-3.6122,40.4455",,"where:-3.6901,40.4244,35",,
obra,star,1858,,"Baltasar","(teatro) Imprenta de José Rodríguez.",,,#ff0000,,,,,,,"-3.7854,40.3676",,"where:-3.7679,40.4225,70",,
obra,star,1867,,"Catilina","(teatro) Imprenta y Librería de Antonio Izquierdo.",,,#ff0000,,,,,,,"-5.9752,37.3445",,"where:-5.9778,37.3819,70",,
obra,star,1869,,"Munio Alfonso","(teatro) Imprenta y Estereotipia de M. Rivadeneyra.",,,#ff0000,,,,,,,"-3.6995,40.4573",,"where:-3.6982,40.4236,35",,
obra,star,1869,,"Recaredo","(teatro) Imprenta y Esterotipia de M. Rivadeneyra.",,,#ff0000,,,,,,,"-3.7895,40.462",,"where:-3.7078,40.4274,35",,
obra,star,1870,,"El millonario y la maleta","(teatro) Imprenta y Estereotipia de M. Rivadeneyra.",,,#ff0000,,,,,,,"-3.6879,40.3381",,"where:-3.7059,40.4261,35",,
obra,star,1858,,"Los tres amores","(teatro) Imprenta de José Rodríguez.",,,#ff0000,,,,,,,"-3.6576,40.4473",,"where:-3.6836,40.4118,35",,
obra,star,1844,,"La Baronesa de Joux","(leyenda) La Prensa.",,,#ff0000,,,,,,,"-82.2772,23.1174",,"where:-82.3369,23.1002,35",,
obra,star,1852,,"El donativo del Diablo","<p>o <em>La velada del Helecho</em>(leyenda) Imprenta a cargo de C. González.</p>",,,#ff0000,,,,,,,"-3.6719,40.353",,"where:-3.7266,40.4106,70",,
obra,star,1871,,"El Cacique de Tumerqué","(leyenda) Imprenta y Estereotipia de M. Rivadeneyra." ,,,#ff0000,,,,,,,"-3.8217,40.4027",,"where:-3.7028,40.4181,35",,
obra,star,1871,,"La dama de Amboto","(leyenda) Imprenta y Estereotipia de M. Rivadeneyra.",,,#ff0000,,,,,,,"-3.8015,40.3802",,"where:-3.7044,40.4189,35",,
obra,star,1871,,"La bella toda y Los doce jabalíes","(leyenda) Imprenta y Estereotipia de M. Rivadeneyra.",,,#ff0000,,,,,,,"-3.7874,40.4597",,"where:-3.7044,40.4189,35",,
obra,star,1871,,"La montaña maldita","(leyenda) Imprenta y Estereotipia de M. Rivadeneyra." ,,,#ff0000,,,,,,,"-3.7207,40.4892",,"where:-3.7106,40.4206,35",,
