id,marker,start,end,title,desc,pic,pos,color,size,opacity,edge,mapMarker,mapColor,mapSize,where,show,click,citation,tags
eh,segment,1814,1836,Cuba,,,,#00ff00,,,,,,,"-79.4807,21.2993,1126",,"where:-79.4807,21.2993,1126",,
eh,segment,1836,1859,España,,,,#00ff00,,,,,,,"-3.3619,40.1116",,"where:-3.2072,40.0137,2253",,
eh,segment,1859,1864,Cuba,,,,#00ff00,,,,,,,"-79.4807,21.2993,1126",,"where:-79.4807,21.2993,1126",,
eh,segment,1864,1873,España,,,,#00ff00,,,,,,,"-3.3619,40.1116",,"where:-3.2072,40.0137,2253",,
bio,dot,1814,,Nacimiento,"Gertrudis Gómez de Avellaneda nace el 23 de marzo de 1814 en Santa María de Puerto Príncipe (actual Camagüey), Cuba.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/FEDERICO_DE_MADRAZO_-Gertrudis_G%C3%B3mez_de_Avellaneda_%28Museo_L%C3%A1zaro_Galdiano%2C_1857%29.jpg/330px-FEDERICO_DE_MADRAZO_-Gertrudis_G%C3%B3mez_de_Avellaneda_%28Museo_L%C3%A1zaro_Galdiano%2C_1857%29.jpg,,#ff9900,,,,,,,"-77.9163,21.3763",,"where:-77.9086,21.3757,35",,
bio,dot,1873,,Muerte,"Gertrudis Gómez de Avellaneda muere el 1 de febrero de 1873 en Madrid, España, a la edad de 58 años.",,,#ff9900,,,,,,,"-3.7086,40.4166",,"where:-3.6599,40.3871,141",,
bio,dot,1845,,Madre soltera,"En abril de 1845 nace fuera de matrimonio su primogénita María, hija del también escritor Gabriel García Tassara. La pequeña muere a los pocos meses de vida.",https://upload.wikimedia.org/wikipedia/commons/5/57/Manuel_Wssel_de_Guimbarda_-_Gabriel_Garc%C3%ADa_Tassara.jpg,,#ff9900,,,,,,,"-3.6787,40.4454",,"where:-3.6599,40.3871,141",,
bio,triup,1845,,1°reconocimiento literario,"La autora, ahora madre soltera, gana los dos primeros premios del certamen poético organizado por el Liceo Artístico y Literario de Madrid. Condición que mejora su estatus como artista y le permite seguir soltera aunque madre. ",https://api.europeana.eu/thumbnail/v2/url.json?size=w400&type=IMAGE&uri=http%3A%2F%2Fwww.mcu.es%2Ffototeca_patrimonio%2FVisor%3FusarVisorMCU%3Dfalse%26archivo%3DMORENO%2Fpreview%2F06323_A_P.jpg,,#00ffff,,,,,,,"-3.6814,40.4323",,"where:-3.7177,40.386,141",,
bio,dot,1846,,1° matrimonio,"Gertrudis Gómez de Avellaneda contra nupcias con Pedro Sabater, gobernador civil de Madrid, hombre interesado en las letras y el arte como ella.",https://lasevillaquenovemos.com/2015c/condesa2.jpg,,#ff9900,,,,,,,"-3.7227,40.3821",,"where:-3.7178,40.3859,141",,
bio,dot,1846,,Muere Pedro Sabater,"Los recién casados viajan a París para buscar una cura a las dolencias de salud de Pedro Sabater. Sin embargo, este muere trágicamente durante el camino de regreso a España, en Burdeos.",https://files.lafm.com.co/assets/public/2020-10/cementerio.jpg,,#ff9900,,,,,,,"2.351,48.8543",,"where:2.3909,48.8808,141",,
bio,triup,1853,,Postulación a la RAE,"Gertrudis Gómez de Avellaneda se postula, después de la muerte de su mentor Juan Nicasio Gallego, como académica de número en la Real Academia de la Lengua Española. Es rechazada por ser mujer. ",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Juan_Nicasio_Gallego.jpg/330px-Juan_Nicasio_Gallego.jpg,,#00ffff,,,,,,,"-3.7018,40.4179",,"where:-3.6577,40.4099,70",,
bio,dot,1856,,2° matrimonio,"El 26 de abril de 1856 Gertrudis Gómez de Avellaneda volvió a contraer nupcias, esta vez con el militar Domingo Verdugo y Massieu.",http://www.fesofi.es/wp-content/uploads/2020/12/Imagen1-5.jpg,,#ff9900,,,,,,,"-3.7099,40.4085",,"where:-3.6714,40.4166,70",,
bio,dot,1858,,Herida fatal,"Verdugo y Massieu, el segundo esposo de Gertrudis Gómez de Avellaneda, es herido de gravedad en una riña con un detractor de su obra Los tres amores"". 	https://lh3.googleusercontent.com/proxy/KCjFSJMM18WymVxw8yFyfV4cJbi5T6IqlfQxEPpJ2bYFyDTkX45vjtLGAwuPFPcuQNqNdnSHPuXu5zaxaH2_rOlf02yRRTLAUQKzSyI5KdfHlg		#ff9900							-3.6997,40.4152		where:-3.6715,40.4166,70		",,,#ff9900,,,,,,,,,,,
